Location,Location_2,n_samples,mean_accuracy,std_accuracy
ctx-rh-middletemporal,ctx-rh-supramarginal,36,0.725,0.11715156762040517
ctx-rh-middletemporal,ctx-rh-superiorparietal,34,0.8857142857142858,0.10690449676496976
ctx-rh-lateralorbitofrontal,ctx-lh-middletemporal,108,0.8792207792207792,0.03882612523771196
ctx-rh-lateralorbitofrontal,ctx-lh-fusiform,20,0.65,0.25495097567963926
ctx-rh-lateralorbitofrontal,Right-Hippocampus,260,0.7692307692307692,0.021066252211737163
ctx-rh-lateralorbitofrontal,ctx-rh-fusiform,42,0.7694444444444445,0.2778610986148597
ctx-rh-lateralorbitofrontal,ctx-rh-middletemporal,230,0.7608695652173914,0.04762804847871012
ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,412,0.7890096973258889,0.030947066473712113
ctx-rh-lateralorbitofrontal,ctx-rh-parstriangularis,198,0.8180769230769231,0.05397786090107333
ctx-rh-lateralorbitofrontal,ctx-rh-insula,238,0.7689716312056738,0.011911806210935485
ctx-rh-lateralorbitofrontal,ctx-rh-precentral,122,0.7130000000000001,0.005715476066494051
ctx-rh-lateralorbitofrontal,ctx-rh-inferiorparietal,72,0.7076190476190477,0.05384112009562885
ctx-rh-parstriangularis,ctx-lh-middletemporal,74,0.8104761904761906,0.02863485024451983
ctx-rh-parstriangularis,ctx-lh-fusiform,28,0.8933333333333333,0.13727506854649335
ctx-rh-parstriangularis,Right-Hippocampus,140,0.8,0.07354021529276429
ctx-rh-parstriangularis,ctx-rh-fusiform,38,0.8142857142857143,0.0683254516775321
ctx-rh-parstriangularis,ctx-rh-middletemporal,126,0.7698461538461538,0.04647681867938267
ctx-rh-parstriangularis,ctx-rh-lateralorbitofrontal,198,0.8534615384615385,0.06805820883341036
ctx-rh-parstriangularis,ctx-rh-parstriangularis,122,0.8113333333333334,0.049152822909778036
ctx-rh-parstriangularis,ctx-rh-insula,98,0.7042105263157895,0.08546110874563494
ctx-rh-parstriangularis,ctx-rh-precentral,56,0.7681818181818182,0.09136250564655354
ctx-rh-parstriangularis,ctx-rh-inferiorparietal,34,0.7333333333333333,0.0645936188869073
ctx-rh-insula,ctx-lh-middletemporal,36,0.8857142857142858,0.1665986255670086
ctx-rh-insula,Right-Hippocampus,162,0.6971590909090909,0.03863543522354528
ctx-rh-insula,ctx-rh-middletemporal,166,0.7534759358288771,0.06220906178301275
ctx-rh-insula,ctx-rh-lateralorbitofrontal,238,0.7984042553191489,0.04821863846812279
ctx-rh-insula,ctx-rh-parstriangularis,98,0.6636842105263159,0.06624892201077712
ctx-rh-insula,ctx-rh-insula,214,0.7800664451827244,0.07261701577309901
ctx-rh-insula,ctx-rh-precentral,106,0.6601731601731602,0.12600303142667635
ctx-rh-insula,ctx-rh-inferiorparietal,66,0.6681318681318681,0.06859114960143842
ctx-rh-precentral,Left-Hippocampus,20,0.8,0.291547594742265
ctx-rh-precentral,Right-Hippocampus,110,0.7363636363636363,0.09270944570168697
ctx-rh-precentral,ctx-rh-middletemporal,136,0.7796296296296297,0.06531552625388294
ctx-rh-precentral,ctx-rh-lateralorbitofrontal,122,0.6806666666666668,0.04544349360591801
ctx-rh-precentral,ctx-rh-parstriangularis,56,0.6606060606060605,0.12029959540169219
ctx-rh-precentral,ctx-rh-insula,106,0.6515151515151516,0.0738472818581471
ctx-rh-precentral,ctx-rh-precentral,92,0.6836257309941521,0.06813304706872618
ctx-rh-precentral,ctx-rh-inferiorparietal,58,0.6530303030303031,0.12842194000252785
ctx-rh-precentral,ctx-rh-supramarginal,24,0.8,0.1264911064067352
ctx-rh-precentral,ctx-rh-superiorparietal,28,0.82,0.10666666666666667
ctx-rh-inferiorparietal,Right-Hippocampus,64,0.7487179487179487,0.0801051248810939
ctx-rh-inferiorparietal,ctx-rh-middletemporal,82,0.7786764705882353,0.06740686256685786
ctx-rh-inferiorparietal,ctx-rh-lateralorbitofrontal,72,0.7485714285714286,0.07471184250459119
ctx-rh-inferiorparietal,ctx-rh-parstriangularis,34,0.6476190476190475,0.11106575037800571
ctx-rh-inferiorparietal,ctx-rh-insula,66,0.6670329670329671,0.12342963588658437
ctx-rh-inferiorparietal,ctx-rh-precentral,58,0.6727272727272727,0.08656276883082246
ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,44,0.7055555555555555,0.08534606386520677
ctx-rh-inferiorparietal,ctx-rh-supramarginal,20,0.75,0.15811388300841897
ctx-rh-inferiorparietal,ctx-rh-superiorparietal,34,0.880952380952381,0.060233860193683424
ctx-rh-supramarginal,Right-Hippocampus,20,0.75,0.15811388300841897
ctx-rh-supramarginal,ctx-rh-middletemporal,36,0.7464285714285716,0.11088696211614302
ctx-rh-supramarginal,ctx-rh-precentral,24,0.71,0.15620499351813308
ctx-rh-supramarginal,ctx-rh-inferiorparietal,20,1.0,0.0
ctx-rh-supramarginal,ctx-rh-superiorparietal,24,0.76,0.19595917942265423
ctx-rh-caudalanteriorcingulate,ctx-lh-middletemporal,20,0.65,0.1224744871391589
ctx-rh-caudalanteriorcingulate,ctx-rh-superiorfrontal,30,0.7333333333333333,0.08164965809277264
ctx-rh-superiorfrontal,Left-Hippocampus,102,0.8047619047619048,0.049647281977060434
ctx-rh-superiorfrontal,ctx-lh-middletemporal,222,0.8964646464646464,0.05476946146151902
ctx-rh-superiorfrontal,ctx-lh-parahippocampal,30,0.8333333333333334,0.10540925533894599
ctx-rh-superiorfrontal,ctx-lh-fusiform,54,0.7781818181818181,0.09156129681464852
ctx-rh-superiorfrontal,ctx-rh-caudalanteriorcingulate,30,0.7000000000000001,0.16329931618554525
ctx-rh-superiorfrontal,ctx-rh-superiorfrontal,306,0.9345319936541513,0.029444251957787944
ctx-rh-superiorfrontal,ctx-rh-rostralanteriorcingulate,108,0.8147186147186147,0.02905919731054271
ctx-rh-superiorfrontal,ctx-rh-superiorparietal,30,0.8666666666666668,0.12472191289246472
ctx-rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,20,0.85,0.1224744871391589
ctx-rh-rostralanteriorcingulate,Left-Hippocampus,36,0.775,0.11715156762040518
ctx-rh-rostralanteriorcingulate,ctx-lh-middletemporal,76,0.9216666666666666,0.04818944098266987
ctx-rh-rostralanteriorcingulate,ctx-lh-fusiform,20,0.55,0.09999999999999999
ctx-rh-rostralanteriorcingulate,ctx-rh-superiorfrontal,108,0.8424242424242424,0.02360796225876359
ctx-rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,42,0.8305555555555555,0.09638528651609707
ctx-rh-rostralanteriorcingulate,ctx-rh-superiorparietal,20,0.95,0.09999999999999999
ctx-rh-superiorparietal,ctx-lh-superiorparietal,20,0.95,0.09999999999999999
ctx-rh-superiorparietal,ctx-rh-middletemporal,34,0.7380952380952381,0.10213147899774866
ctx-rh-superiorparietal,ctx-rh-precentral,28,0.78,0.22666666666666668
ctx-rh-superiorparietal,ctx-rh-inferiorparietal,34,0.9095238095238095,0.07438333024673005
ctx-rh-superiorparietal,ctx-rh-supramarginal,24,0.8300000000000001,0.15362291495737218
ctx-rh-superiorparietal,ctx-rh-superiorfrontal,30,0.8666666666666666,0.12472191289246472
ctx-rh-superiorparietal,ctx-rh-rostralanteriorcingulate,20,0.9,0.1224744871391589
ctx-rh-superiorparietal,ctx-rh-superiorparietal,52,0.8254545454545454,0.07614687851407972
ctx-lh-entorhinal,ctx-lh-middletemporal,50,0.78,0.07483314773547886
ctx-lh-middletemporal,ctx-lh-entorhinal,50,0.7999999999999999,0.0894427190999916
ctx-lh-middletemporal,Right-Amygdala,84,0.8691176470588236,0.07787177820513959
ctx-lh-middletemporal,ctx-rh-bankssts,20,0.9,0.1224744871391589
Right-Amygdala,ctx-lh-middletemporal,84,0.8683823529411765,0.027941176470588226
Right-Amygdala,Right-Amygdala,116,0.8362318840579711,0.016901309840131294
Right-Amygdala,Right-Hippocampus,132,0.7729344729344729,0.061247597934063966
Right-Amygdala,ctx-rh-middletemporal,120,0.8166666666666667,0.10408329997330663
Right-Amygdala,ctx-rh-bankssts,34,0.7714285714285715,0.17142857142857143
Right-Amygdala,ctx-rh-lateralorbitofrontal,174,0.8391596638655463,0.013035777767842182
Right-Amygdala,ctx-rh-parstriangularis,92,0.8140350877192983,0.05902088611480765
Right-Amygdala,ctx-rh-insula,72,0.8066666666666666,0.04681221229502669
Right-Amygdala,ctx-rh-precentral,44,0.7499999999999999,0.08240220541217404
Right-Hippocampus,Right-Amygdala,132,0.8262108262108262,0.036407090713914264
Right-Hippocampus,ctx-rh-bankssts,66,0.7274725274725274,0.07720513437472656
ctx-rh-middletemporal,Right-Amygdala,120,0.7833333333333334,0.04859126579037751
ctx-rh-middletemporal,ctx-rh-bankssts,74,0.7723809523809525,0.08875045910264188
ctx-rh-bankssts,ctx-lh-middletemporal,20,0.85,0.1224744871391589
ctx-rh-bankssts,Right-Amygdala,34,0.7428571428571429,0.18952141659173713
ctx-rh-bankssts,Right-Hippocampus,66,0.6945054945054945,0.13139107848470435
ctx-rh-bankssts,ctx-rh-middletemporal,74,0.6885714285714285,0.09231711097944867
ctx-rh-bankssts,ctx-rh-bankssts,34,0.6714285714285715,0.1245399698154478
ctx-rh-bankssts,ctx-rh-lateralorbitofrontal,82,0.7441176470588236,0.0815348016213477
ctx-rh-bankssts,ctx-rh-parstriangularis,36,0.7035714285714286,0.19807749462660068
ctx-rh-bankssts,ctx-rh-insula,64,0.6423076923076924,0.09999999999999999
ctx-rh-bankssts,ctx-rh-precentral,50,0.7,0.14142135623730953
ctx-rh-lateralorbitofrontal,Right-Amygdala,174,0.8732773109243699,0.04387295085447994
ctx-rh-lateralorbitofrontal,ctx-rh-bankssts,82,0.7433823529411765,0.04698983914314838
ctx-rh-parstriangularis,Right-Amygdala,92,0.7929824561403509,0.043108578933291494
ctx-rh-parstriangularis,ctx-rh-bankssts,36,0.7178571428571429,0.13190132366156707
ctx-rh-insula,Right-Amygdala,72,0.7504761904761905,0.06851849808992362
ctx-rh-insula,ctx-rh-bankssts,64,0.641025641025641,0.05847053462046861
